City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,City Country,City Date
binghamton,42.1,-75.91,66.0,93,1,3.27,US,1567472790
rocha,-34.48,-54.34,42.74,82,74,8.55,UY,1567472790
karabulak,44.91,78.49,61.64,29,28,5.57,KZ,1567472790
cayeli,41.09,40.73,66.32,69,23,5.08,TR,1567472790
halifax,44.65,-63.58,68.0,93,90,10.29,CA,1567472774
pitimbu,-7.47,-34.81,75.2,94,20,8.05,BR,1567472708
kongolo,-5.39,27.0,73.16,79,90,2.1,CD,1567472791
alakurtti,66.96,30.34,55.99,79,23,4.0,RU,1567472791
bonavista,48.65,-53.11,57.0,84,100,1.99,CA,1567472595
paracuru,-3.41,-39.03,80.6,74,20,13.87,BR,1567472792
lerwick,60.15,-1.15,48.2,93,15,4.7,GB,1567472792
shahr-e kord,32.33,50.85,50.0,39,0,4.7,IR,1567472792
mabaruma,8.2,-59.78,74.96,97,49,2.93,GY,1567472792
nassjo,57.65,14.7,46.0,93,43,4.7,SE,1567472792
minab,27.15,57.07,84.2,89,0,4.7,IR,1567472793
xuddur,4.12,43.89,72.8,69,97,19.73,SO,1567472793
omboue,-1.57,9.26,74.78,83,99,10.83,GA,1567472793
manaus,-3.13,-59.98,84.2,70,20,4.7,BR,1567472726
meaford,44.61,-80.59,64.99,100,90,2.24,CA,1567472741
grootfontein,-19.56,18.1,52.28,15,0,6.93,NA,1567472794
huarmey,-10.07,-78.15,60.56,91,30,13.15,PE,1567472794
aksu,52.04,76.93,44.6,93,0,8.95,KZ,1567472794
novosergiyevka,52.08,53.65,45.08,84,3,3.98,RU,1567472794
matay,28.42,30.79,74.24,65,0,11.36,EG,1567472795
tete,-16.16,33.59,75.2,69,40,8.05,MZ,1567472795
sao joao da barra,-21.64,-41.05,71.54,83,30,3.47,BR,1567472795
chuy,-33.69,-53.46,49.22,66,89,8.43,UY,1567472795
east london,-33.02,27.91,50.12,91,37,4.59,ZA,1567472662
yabrud,33.97,36.66,68.0,68,0,5.82,SY,1567472796
arraial do cabo,-22.97,-42.02,69.8,88,20,9.17,BR,1567472796
sechura,-5.56,-80.82,63.8,87,22,10.83,PE,1567472796
isiro,2.77,27.62,67.04,99,74,2.19,CD,1567472796
ciudad bolivar,8.12,-63.55,81.8,71,60,2.59,VE,1567472797
den helder,52.96,4.76,66.2,72,75,19.46,NL,1567472797
manta,45.1,24.1,62.54,47,0,4.5,RO,1567472797
albanel,48.88,-72.44,57.0,93,75,4.7,CA,1567472797
jumla,29.28,82.18,51.02,94,29,2.46,NP,1567472798
kidal,18.44,1.41,89.36,43,74,4.63,ML,1567472798
cabildo,-32.43,-71.07,50.0,81,0,4.7,CL,1567472798
mount pleasant,33.16,-94.97,89.6,45,1,3.36,US,1567472544
reinbek,53.51,10.25,57.0,76,0,5.82,DE,1567472798
amapa,15.09,-87.97,84.2,70,40,11.41,HN,1567472799
camacha,33.08,-16.33,71.6,68,40,9.17,PT,1567472799
pisco,-13.71,-76.2,62.6,82,90,13.87,PE,1567472799
coquimbo,-29.95,-71.34,53.6,81,90,3.36,CL,1567472799
saint anthony,43.97,-111.68,87.8,14,1,20.8,US,1567472800
paamiut,61.99,-49.67,43.46,80,35,13.33,GL,1567472800
jardim,-21.48,-56.15,74.78,58,12,6.76,BR,1567472800
suruc,36.98,38.42,75.2,25,0,10.29,TR,1567472801
ribeira grande,38.52,-28.7,72.8,84,1,13.94,PT,1567472801
liverpool,53.41,-2.98,60.8,82,40,9.17,GB,1567472545
takoradi,4.89,-1.75,73.16,96,56,3.29,GH,1567472801
iqaluit,63.75,-68.52,39.2,86,40,2.24,CA,1567472801
nusaybin,37.08,41.21,78.8,27,0,9.17,TR,1567472802
suez,29.97,32.54,72.44,80,0,7.23,EG,1567472802
beni,0.49,29.47,63.08,98,65,1.48,CD,1567472802
salalah,17.01,54.1,78.8,94,90,4.7,OM,1567472802
san ramon de la nueva oran,-23.13,-64.33,57.32,38,36,4.21,AR,1567472802
sao joao de pirabas,-0.77,-47.18,73.34,97,53,3.83,BR,1567472803
saint-louis,16.03,-16.5,82.4,83,20,4.7,SN,1567472803
dejen,10.16,38.15,60.38,88,72,0.69,ET,1567472803
fereydun kenar,36.69,52.52,69.8,94,90,9.17,IR,1567472803
tabora,-5.02,32.81,71.6,64,75,5.82,TZ,1567472804
abha,18.22,42.5,71.6,45,0,1.61,SA,1567472804
constitucion,23.99,-104.67,63.0,87,90,12.75,MX,1567472804
murgab,37.5,61.97,62.6,51,0,4.7,TM,1567472805
beberibe,-4.18,-38.13,80.6,74,20,13.87,BR,1567472805
yar-sale,66.83,70.83,43.82,72,100,8.75,RU,1567472805
busselton,-33.64,115.35,57.99,46,27,19.28,AU,1567472805
ornskoldsvik,63.29,18.72,44.6,87,26,4.7,SE,1567472616
hollola,60.99,25.5,50.0,99,99,4.54,FI,1567472806
kyshtovka,56.56,76.62,45.08,93,100,9.4,RU,1567472806
cap-aux-meules,47.38,-61.86,66.2,82,90,18.34,CA,1567472806
chacabuco,-34.64,-60.47,39.5,69,0,7.23,AR,1567472806
malindi,-3.22,40.12,72.08,92,59,8.57,KE,1567472807
